Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
DRIV,15.18,15.18,39.85,1.18,"732,833","417,043",-59.72%,-57.27%,566.75M,37.34M,35.93M,N/A,N/A,N/A,17.74,0.48,0.48,10.27,17.79,0.88,31.69,1.51,383.80M,53.92M,18.22M,4.75%,5.85%,31-Dec,30-Sep-11,1.25%,2.66%,3.11,53.43,664.23M,3.92M,10.20%,4.16M,5.4,"110,505",15.49,15.02,-3.03,-31.33,7345217.3,28.3,
DRJ,1.66,2.03,3.18,1.1,"22,973","16,843",-19.44%,-16.99%,90.66M,44.66M,29.66M,N/A,N/A,30-Jan-07,0.71,0,0,2.86,0.01,2.75,"2,030.00",0.68,127.23M,4.41M,185.00K,0.14%,1.53%,31-Dec,30-Sep-11,1.72%,0.39%,1.31,79.82,239.00K,66.58K,0.20%,63.12K,2.5,"28,466",2.18,2.15,-1.38,-31.33,202578.57,29.96,
DRK.V,0.04,0.06,0.11,N/A,"62,472","16,438",N/A,none,6.99M,127.11M,70.45M,N/A,N/A,N/A,0.17,N/A,N/A,N/A,0,0.3,N/A,N/A,N/A,-956.82K,-1.32M,N/A,N/A,30-Apr,30-Apr-11,-2.90%,-7.00%,0.48,5.07,446.09K,N/A,N/A,N/A,N/A,"80,000",0.05,0.05,0,-31.33,3837.5,31.33,
DRL,0.72,0.75,2.72,3.18,"583,741","566,700",-51.30%,-48.85%,95.47M,127.30M,110.32M,N/A,N/A,20-Aug-07,3.75,-0.53,-0.53,1.87,0.84,0.22,N/A,0.43,237.88M,N/A,-68.08M,-24.56%,1.52%,31-Dec,30-Sep-11,-0.68%,-6.70%,N/A,N/A,107.14M,4.85M,3.80%,5.35M,7.7,"203,409",0.78,0.956,22.56,-31.33,938513.15,53.9,
DRN,none,39.26,none,none,none,none,none,none,-2.62%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Direxion Funds,141.15M,none,none,none,none,none,none,none,none,none,"364,106",45.97,51.57,12.18,-31.33,18010106.12,43.51,
DROOY,4.21,6.43,7.27,0.1,"143,578","101,029",36.23%,38.68%,247.48M,38.49M,35.66M,0.08,1.30%,23-Jul-07,3.91,-0.65,-0.65,8.42,0.9,1.62,N/A,0.76,324.08M,44.30M,-25.10M,-7.75%,8.90%,30-Jun,30-Sep-11,6.11%,-22.39%,1.31,9.49,34.66M,134.44K,N/A,115.13K,1,"16,173",6.58,,0,-31.33,0,31.33,
DRQ,47.4,60,83.8,1.65,"467,205","285,229",-22.55%,-20.10%,2.40B,40.08M,34.54M,N/A,N/A,6-Oct-06,22.26,2.19,2.19,14.27,6.38,2.72,27.38,4.25,571.29M,151.20M,88.02M,15.41%,22.52%,31-Dec,30-Sep-11,8.27%,10.42%,5.7,0.01,255.57M,3.42M,9.90%,2.70M,5.8,"137,484",70.72,65.82,-6.93,-31.33,18712772.5,24.4,
DRR,none,43.82,none,none,none,none,none,none,-17.17%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Morgan Stanley,72.10M,none,none,none,none,none,none,none,none,none,"56,030",42.16,45.66,8.3,-31.33,1015912.98,39.63,
DRRX,1.2,1.24,3.77,1.5,"364,722","176,400",-57.68%,-55.23%,108.44M,87.45M,69.22M,N/A,N/A,N/A,0.05,-0.25,-0.25,0.38,0.37,25.96,N/A,3.23,33.05M,-21.85M,-21.94M,-66.40%,-69.19%,31-Dec,30-Sep-11,-23.23%,-201.16%,2.46,N/A,32.46M,3.30M,4.00%,3.60M,6.7,"105,973",1.26,1.18,-6.35,-31.33,571257.92,24.98,
DRU,24.34,29.29,29.43,N/A,"47,780","37,457",0.07%,2.52%,16.68B,569.61M,567.20M,N/A,N/A,N/A,20.42,2.61,2.61,25.96,0.44,1.43,11.22,1.12,14.95B,5.03B,1.51B,10.07%,25.21%,31-Dec,30-Sep-11,5.46%,12.90%,0.96,169.84,248.00M,N/A,N/A,N/A,N/A,"11,979",29.37,29.37,0,-31.33,1661549.01,31.33,
DRV,none,57.31,none,none,none,none,none,none,-51.30%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Direxion Funds,33.97M,none,none,none,none,none,none,none,none,none,"170,751",47.55,38.86,-18.28,-31.33,9628451.02,13.06,
DRV.V,0.13,0.15,0.44,1.62,"188,336","189,588",-6.25%,-3.80%,27.46M,183.05M,174.30M,N/A,N/A,N/A,0.04,N/A,N/A,N/A,0.03,3.78,N/A,N/A,N/A,-3.47M,-3.77M,N/A,N/A,31-Dec,30-Jun-11,-25.66%,-44.72%,30.12,N/A,5.79M,1.34M,N/A,1.17M,2.1,"8,000",0.14,0.18,28.57,-31.33,30420.25,59.9,
DRW,none,22.14,none,none,none,none,none,none,-8.50%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,119.61M,none,none,none,none,none,none,none,none,none,"44,247",24.02,23.27,-3.12,-31.33,825110.87,28.21,
DRWI,2.7,3.96,9.2,1.59,"365,266","370,857",-44.07%,-41.62%,140.52M,35.53M,33.65M,N/A,N/A,N/A,3.43,-0.61,-0.61,1.89,2.01,1.16,N/A,2.12,66.79M,-21.61M,-21.05M,-31.52%,-40.09%,28-Feb,31-Aug-11,-11.00%,-16.15%,5.79,N/A,71.38M,2.75M,N/A,2.65M,10.1,"51,525",4.47,3.45,-22.82,-31.33,1286650.58,8.51,
DRX.TO,1.15,1.35,2.13,N/A,"25,627","35,300",-12.90%,-10.45%,44.27M,32.79M,17.46M,N/A,N/A,N/A,2.85,0.09,0.09,1.68,0.85,0.47,15.17,0.8,55.01M,9.74M,2.78M,5.06%,11.51%,31-Jan,31-Jul-11,3.63%,3.07%,4.88,7.63,27.98M,N/A,N/A,N/A,N/A,"26,100",1.33,1.32,-0.75,-31.33,3051.5,30.58,
DRYS,1.75,2.15,6.44,3.22,"6,739,180","4,028,840",-59.43%,-56.98%,878.05M,408.39M,351.91M,N/A,N/A,N/A,7.87,0.1,0.1,2.85,0.98,0.28,20.67,0.92,965.30M,535.48M,25.22M,3.59%,30.52%,31-Dec,30-Sep-11,2.50%,1.46%,1.06,113.65,398.96M,14.44M,4.20%,14.58M,2,"1,624,451",2.5,2,-20,-31.33,13544263,11.33,
DS.TO,none,8.24,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"11,495",8.48,8.7,2.59,-31.33,110785,33.93,
DSCI,4.5,7.64,12.72,1.06,"34,170","34,229",57.20%,59.65%,80.81M,10.58M,6.09M,N/A,N/A,1-Feb-10,4.96,-0.29,-0.29,7.9,2.13,1.51,N/A,1.29,61.40M,990.45K,-2.23M,-3.64%,-2.69%,31-Dec,30-Sep-11,-2.13%,-5.60%,8.1,N/A,22.54M,253.04K,5.50%,244.90K,7.7,"10,709",7.61,7.58,-0.39,-31.33,263805.95,30.94,
DSCO,1.6,1.64,5.4,1.06,"148,873","89,457",-45.33%,-42.88%,40.18M,24.50M,22.09M,N/A,N/A,28-Dec-10,0.2,-1.12,-1.12,0.03,0.63,8.41,N/A,69.03,582.00K,-22.95M,-22.40M,N/A,-4165.12%,31-Dec,30-Sep-11,-79.70%,-302.21%,1.21,6.68,15.41M,454.23K,1.90%,546.26K,3.5,"39,654",1.58,1.68,6.33,-31.33,188727.22,37.66,
DSCY.PK,N/A,0,N/A,3.29,N/A,N/A,N/A,none,55.54K,25.24M,N/A,N/A,N/A,N/A,-0.02,0,0,Diversified Investments,0,N/A,N/A,N/A,Financial,-30.25K,-51.21K,N/A,N/A,31-Dec,30-Sep-10,-6013.97%,N/A,0,N/A,306,N/A,N/A,N/A,N/A,100,0.0022,0.0043,95.45,-31.33,0,126.79,
DSG.TO,5.86,6.7,7.63,1.25,"97,528","26,175",-3.87%,-1.42%,417.50M,62.31M,61.28M,0.65,0.60%,N/A,3.5,0.22,0.22,1.76,1.14,1.96,30.45,3.93,108.56M,29.83M,14.12M,13.00%,13.87%,31-Jan,31-Jul-11,3.87%,6.91%,4.26,N/A,70.79M,40.66K,N/A,2.07K,2.4,"9,032",6.99,7.32,4.72,-31.33,60294.93,36.05,
DSGX,5.71,6.46,7.55,1.28,"15,939","6,586",-5.00%,-2.55%,402.54M,62.31M,61.28M,N/A,N/A,N/A,3.5,0.22,0.22,1.76,1.14,1.88,29.36,3.79,108.56M,29.83M,14.12M,13.00%,13.87%,31-Jan,31-Jul-11,3.87%,6.91%,4.26,N/A,70.79M,6.98K,N/A,8.77K,0.3,300,6.87,7.16,4.22,-31.33,16495,35.55,
DSI,none,43.75,none,none,none,none,none,none,1.16%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iShares,146.47M,none,none,none,none,none,none,none,none,none,"1,804",46.724,46.89,0.36,-31.33,590465.96,31.69,
DSITY.PK,0.36,0.4,1.22,N/A,"13,367","13,671",-65.81%,-63.36%,480.99M,1.20B,1.12B,N/A,N/A,N/A,0.84,-0.31,-0.31,10.75,0.45,0.49,N/A,0.04,12.93B,-76.85M,-367.06M,-2.87%,-2.20%,30-Apr,30-Apr-11,-3.14%,-31.35%,0.9,81.6,534.87M,N/A,N/A,N/A,N/A,"23,936",0.46,0.4,-13.04,-31.33,5737.05,18.29,
DSKX.OB,0.28,0.34,0.46,N/A,"30,095","40,686",N/A,none,35.18M,105.03M,32.59M,N/A,N/A,N/A,0.05,-0.02,-0.02,0.08,0,7.55,N/A,4.51,8.27M,-980.06K,-1.15M,-13.89%,-14.22%,31-Dec,30-Sep-11,-17.20%,-32.42%,5.94,N/A,188.64K,N/A,N/A,N/A,N/A,"2,000",0.346,0.374,8.09,-31.33,38642.53,39.42,
DSM,6.97,8.37,8.67,-0.02,"97,461","67,871",6.22%,8.67%,407.42M,48.68M,N/A,0.57,6.80%,N/A,7.79,0.15,0.15,Closed-End Fund - Debt,N/A,1.07,56.17,12.33,Financial,N/A,7.23M,23.80%,87.46%,30-Nov,31-May-11,3.02%,1.44%,2.3,10.59,N/A,16.92K,N/A,94.53K,0.1,"46,868",8.38,8.71,3.94,-31.33,441753.23,35.27,
DSM.V,none,0.53,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"34,010",0.56,0.47,-16.07,-31.33,198936.97,15.26,
DSNY.OB,0.3,0.41,0.49,0.13,"90,275","86,729",-4.65%,-2.20%,20.68M,50.43M,34.75M,N/A,N/A,N/A,0.04,0.03,0.03,0.08,0.01,10.73,13.67,5.58,3.98M,500.26K,1.25M,31.51%,11.11%,31-Aug,31-May-11,13.41%,78.89%,3.14,0.34,490.73K,N/A,N/A,N/A,N/A,"33,386",0.415,0.45,8.43,-31.33,11419,39.77,
DSPG,5.44,5.5,9.24,1.39,"118,092","64,871",-28.39%,-25.94%,126.63M,23.02M,20.85M,N/A,N/A,2-Mar-00,6.77,-0.87,-0.87,8.52,2.69,0.83,N/A,0.65,199.04M,-7.51M,-20.21M,-10.15%,-11.22%,31-Dec,30-Sep-11,-6.32%,-12.18%,3.01,N/A,62.00M,734.88K,3.90%,790.31K,6.1,"43,784",5.84,5.21,-10.79,-31.33,639977.69,20.54,
DSS,1.86,3.09,6,-0.21,"46,211","25,229",-36.55%,-34.10%,60.40M,19.55M,16.10M,N/A,N/A,N/A,0.33,-0.2,-0.2,0.7,0.06,9.47,N/A,4.52,13.31M,-2.63M,-3.87M,-29.09%,-26.12%,31-Dec,30-Sep-11,-17.74%,-74.08%,0.93,72.42,1.07M,561.20K,3.70%,561.43K,18.2,"6,169",3.12,2.55,-18.27,-31.33,126104.63,13.06,
DST,40.48,45.22,59.41,1.08,"269,222","211,300",4.85%,7.30%,1.99B,44.10M,32.38M,0.7,1.60%,20-Oct-00,15.97,5.06,5.06,50.83,7.81,2.82,8.93,0.85,2.35B,378.90M,237.20M,10.11%,11.69%,31-Dec,30-Sep-11,5.64%,33.02%,0.8,176.45,344.30M,347.10K,1.00%,467.59K,1.5,"92,430",47.37,45.52,-3.91,-31.33,7557488.87,27.43,
DSTI,0.13,0.3,2,1.65,"85,188","83,471",-81.13%,-78.68%,2.86M,9.55M,9.08M,N/A,N/A,12-May-10,0.61,-0.64,-0.64,N/A,0.01,0.57,N/A,N/A,N/A,-4.32M,-4.99M,N/A,N/A,31-Dec,30-Sep-11,-19.93%,-141.04%,0.03,101.53,54.04K,226.71K,4.60%,254.19K,3.3,"53,690",0.28,0.22,-21.43,-31.33,7982.17,9.9,
DSTO.PK,N/A,2.5,N/A,N/A,N/A,N/A,N/A,none,N/A,NaN,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,440,2.5,2.5,0,-31.33,0,31.33,
DSU,3.45,3.77,4.43,0.86,"281,120","251,914",-3.83%,-1.38%,406.30M,107.77M,N/A,0.3,8.00%,N/A,4.28,0.73,0.73,0.39,0,0.87,5.18,9.67,41.55M,N/A,78.41M,188.72%,90.40%,28-Feb,28-Feb-11,4.09%,17.81%,0.1,25.37,111.65K,72.84K,N/A,314.75K,0.3,"116,784",3.72,3.88,4.3,-31.33,1794904.82,35.63,
DSW,32.76,42.97,55.9,1.72,"657,581","952,286",9.93%,12.38%,1.69B,39.32M,32.38M,0.6,1.30%,N/A,15.95,4.36,4.36,36.64,6.79,2.75,9.85,0.89,1.98B,263.54M,250.40M,12.40%,10.64%,29-Jan,29-Oct-11,12.25%,34.11%,2.46,N/A,303.97M,1.52M,11.70%,1.58M,3,"369,767",45.69,44.21,-3.24,-31.33,19239916.13,28.09,
DSWL,2.24,2.34,3.69,0.72,"18,692","6,300",-29.31%,-26.86%,37.91M,16.20M,12.47M,0.12,5.10%,30-Mar-05,6.81,-0.36,-0.36,5.06,2.33,0.35,N/A,0.47,81.86M,4.57M,-5.76M,-7.04%,-1.54%,31-Mar,30-Jun-11,-0.60%,-5.03%,4.69,N/A,37.79M,1.48K,N/A,3.44K,0.1,775,2.31,2.15,-6.93,-31.33,99623.7,24.41,
DSX,6.59,7.25,13.74,1.62,"485,873","447,457",-42.60%,-40.15%,587.90M,81.09M,66.43M,N/A,N/A,N/A,14.3,1.56,1.56,3.45,4.63,0.52,4.65,2.14,279.04M,188.05M,126.93M,45.49%,46.87%,31-Dec,30-Jun-11,5.44%,11.23%,12.48,30.15,375.61M,1.88M,2.90%,1.25M,3.5,"229,101",7.49,7.48,-0.13,-31.33,3334166.7,31.2,
DSY.V,none,0.4,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"44,000",0.44,0.38,-13.64,-31.33,1826.5,17.7,
DTD,none,45.03,none,none,none,none,none,none,4.68%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,181.33M,none,none,none,none,none,none,none,none,none,"17,877",48.03,49.24,2.52,-31.33,2976190.29,33.85,
DTE,43.22,49.43,52.82,0.55,"1,278,550","901,000",10.31%,12.76%,8.37B,169.25M,168.48M,2.35,4.70%,N/A,41.18,4.2,4.2,52.65,0.27,1.2,11.77,0.94,8.90B,2.38B,713.00M,8.01%,16.16%,31-Dec,30-Sep-11,3.67%,10.50%,1.39,114.41,46.00M,2.16M,1.30%,2.11M,1.8,"402,429",52.63,54.45,3.46,-31.33,42514378.5,34.79,
DTEGF.PK,none,11.72,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"1,100",12.83,11.44,-10.83,-31.33,1534250,20.5,
DTEGY.PK,10.7,11.62,16.85,N/A,"576,973","398,357",-10.75%,-8.30%,50.55B,4.35B,3.70B,N/A,N/A,N/A,10.6,0.39,0.39,18.58,1.46,1.09,29.79,0.62,81.24B,22.83B,1.89B,2.10%,11.10%,31-Dec,30-Jun-11,3.30%,3.75%,1.37,128.64,6.36B,N/A,N/A,N/A,N/A,"276,977",12.78,11.45,-10.41,-31.33,6753081.1,20.93,
DTF,13.72,15.55,15.77,0.11,"11,488","11,014",1.57%,4.02%,132.28M,8.51M,N/A,0.81,5.20%,N/A,15.5,0.32,0.32,1.13,N/A,1,48.75,13.73,9.60M,N/A,2.71M,29.89%,83.03%,31-Oct,30-Apr-11,2.50%,1.44%,21.17,N/A,N/A,4.30K,N/A,1.96K,0.4,"1,948",15.59,16.06,3.01,-31.33,336426.79,34.35,
DTG,45.36,63.19,84.27,3.89,"479,309","315,214",38.09%,40.54%,1.83B,29.02M,17.95M,N/A,N/A,N/A,23.06,4.46,4.46,53.56,17.23,2.76,14.16,1.2,1.54B,331.71M,138.15M,8.95%,20.19%,31-Dec,30-Sep-11,7.49%,23.23%,4.58,198.77,500.03M,4.17M,17.20%,4.70M,8,"91,991",66.84,70.26,5.12,-31.33,20228889.45,36.45,
DTGI.OB,0.01,0.03,0.14,1.35,"13,033","4,300",N/A,none,1.98M,65.88M,48.46M,N/A,N/A,N/A,-0.03,-0.03,-0.03,0.26,0,N/A,N/A,0.11,15.23M,-1.32M,-1.64M,-10.75%,-9.35%,31-Jul,31-Jul-11,-99.55%,N/A,0.39,N/A,60.00K,N/A,N/A,N/A,N/A,"9,000",0.02,0.0183,-8.5,-31.33,337.18,22.83,
DTH,none,34.2,none,none,none,none,none,none,-0.69%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,142.81M,none,none,none,none,none,none,none,none,none,"25,278",37.52,36.56,-2.56,-31.33,1671314.16,28.77,
DTIIQ.PK,N/A,0,N/A,N/A,N/A,N/A,N/A,none,90.29K,22.57M,N/A,N/A,N/A,N/A,0.5,-4.16,-4.16,9.05,0.08,0.01,N/A,0,214.06M,-10.01M,-85.50M,-45.99%,-7.81%,29-Jun,28-Dec-03,-4.31%,-119.62%,0.84,756.45,1.80M,N/A,N/A,N/A,N/A,"25,120",0.0046,0.002,-56.52,-31.33,5,-25.19,
DTK,none,21.65,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"70,489",22,21.63,-1.68,-31.33,2795973.4,29.65,
DTLK,4.23,7.3,11.5,0.76,"350,739","306,043",59.39%,61.84%,129.61M,17.76M,14.59M,N/A,N/A,N/A,4.28,0.63,0.63,24.03,1.98,1.74,11.62,0.37,356.36M,19.18M,9.65M,2.71%,4.62%,31-Dec,30-Sep-11,5.62%,16.19%,1.57,N/A,35.06M,87.88K,0.60%,39.28K,0.2,"71,842",7.67,8.26,7.69,-31.33,931234.76,39.02,
DTN,none,47.87,none,none,none,none,none,none,7.60%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,761.34M,none,none,none,none,none,none,none,none,none,"70,248",51.02,52.02,1.96,-31.33,7527367.96,33.29,
DTRO.PK,0,0.01,0.02,N/A,"23,029,900","24,867,300",-92.86%,-90.41%,16.40K,1.64M,N/A,N/A,N/A,N/A,-0.85,-1.11,-1.11,4.61,0.08,N/A,N/A,0.01,3.94M,-164.05K,-600.90K,-15.26%,-7.48%,30-Sep,30-Jun-11,N/A,N/A,0.2,N/A,136.02K,N/A,N/A,N/A,N/A,"5,000",0.026,0.015,-42.31,-31.33,192.23,-10.98,
DTSI,20.93,26.09,50.57,1.18,"140,252","99,857",-42.04%,-39.59%,441.16M,16.91M,16.74M,N/A,N/A,N/A,8.34,0.97,0.97,5.54,5.07,3.18,26.9,4.72,94.77M,32.91M,17.34M,18.30%,29.35%,31-Dec,30-Sep-11,11.07%,12.47%,13.26,N/A,85.79M,2.32M,15.00%,2.34M,19.6,"40,357",28.43,27.24,-4.19,-31.33,2997563.24,27.15,
DTT,none,19.06,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"50,147",19.82,18.75,-5.4,-31.33,1985573.49,25.93,
DTV,39.12,45.08,53.4,0.78,"6,741,580","5,875,230",8.55%,11.00%,31.81B,705.58M,704.98M,N/A,N/A,N/A,-3.77,3.21,3.21,33.91,1.84,N/A,14.05,1.2,26.38B,6.86B,2.51B,9.51%,16.88%,31-Dec,30-Sep-11,15.04%,N/A,1.02,N/A,1.30B,16.09M,2.00%,18.06M,2.5,"2,929,332",47.87,42.76,-10.67,-31.33,183476850.1,20.66,
DTX.TO,none,2.25,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"31,548",2.14,2.05,-4.21,-31.33,3466754.98,27.13,
DTYL,none,65.14,none,none,none,none,none,none,39.04%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iPath,7.30M,none,none,none,none,none,none,none,none,none,775,64.53,66.75,3.44,-31.33,458370,34.77,
DTYS,none,33.72,none,none,none,none,none,none,-30.92%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iPath,40.38M,none,none,none,none,none,none,none,none,none,"7,499",34.5401,32.2,-6.78,-31.33,1378277.1,24.56,
DUA,none,18.69,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"37,944",19.05,18.32,-3.83,-31.33,1693688.68,27.5,
DUC,10.6,11.6,12.08,-0.11,"73,914","76,786",-3.25%,-0.80%,316.88M,27.32M,N/A,0.49,4.20%,N/A,11.7,0.54,0.54,0.8,0.37,0.99,21.32,14.48,21.87M,N/A,14.87M,74.54%,78.79%,31-Dec,30-Jun-11,2.10%,3.90%,255.15,22.91,10.15M,38.90K,N/A,44.11K,0.5,"34,304",11.775,12.04,2.25,-31.33,1018858.96,33.58,
DUCP.OB,0.01,0.02,0.35,3.12,"17,253","33,143",-91.30%,-88.85%,1.02M,60.24M,40.39M,N/A,N/A,N/A,0,-0.01,-0.01,N/A,0,N/A,N/A,N/A,N/A,N/A,-736.53K,N/A,N/A,30-Apr,31-Jul-11,-983.99%,N/A,0,N/A,16,N/A,N/A,N/A,N/A,"56,000",0.038,0.03,-21.05,-31.33,2425,10.28,
DUF,9.29,13.16,17.69,1.55,"135,214","73,743",-5.05%,-2.60%,400.01M,30.40M,29.38M,0.32,2.30%,N/A,8.4,0.6,0.6,14.14,2.55,1.58,22.08,1.07,377.86M,59.04M,16.47M,4.62%,12.86%,31-Dec,30-Sep-11,5.80%,8.42%,4.49,N/A,77.59M,1.92M,7.10%,1.97M,13.8,"67,149",14.56,14.5,-0.41,-31.33,1465136.51,30.92,
DUG,none,31.7,none,none,none,none,none,none,-26.67%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,ProShares,110.49M,none,none,none,none,none,none,none,none,none,"426,835",25.79,25.61,-0.7,-31.33,14259888.21,30.63,
DUK,16.87,19.79,21.02,0.34,"14,257,300","10,217,000",13.02%,15.47%,26.37B,1.33B,1.33B,1,5.00%,29-Jan-01,17.11,1.38,1.38,10.76,1.64,1.15,14.32,1.83,14.31B,4.97B,1.84B,12.89%,20.61%,31-Dec,30-Sep-11,3.11%,8.21%,1.23,87.83,2.18B,48.48M,3.70%,47.89M,3.8,"3,272,766",20.7,22,6.28,-31.33,172534376.7,37.61,
DUN.V,0.02,0.02,0.1,N/A,"132,831","118,000",-75.00%,-72.55%,1.67M,83.28M,68.01M,N/A,N/A,N/A,0.01,N/A,N/A,N/A,0.01,3.33,N/A,N/A,N/A,N/A,-1.07M,N/A,N/A,31-Mar,30-Jun-11,-28.65%,-54.50%,1.11,N/A,612.02K,N/A,N/A,N/A,N/A,"20,000",0.015,0.02,33.33,-31.33,5457.5,64.67,
DUNR.OB,0.05,0.05,1.35,1.63,"103,589","118,757",-83.33%,-80.88%,2.44M,48.79M,36.41M,N/A,N/A,N/A,-5.38,-1.78,-1.78,1.38,0.45,N/A,N/A,0.03,64.08M,24.23M,-82.35M,-93.65%,-27.90%,31-Dec,30-Sep-11,-3.94%,N/A,0.09,N/A,21.70M,245.81K,14.40%,256.91K,0.4,"64,260",0.042,0.0275,-34.52,-31.33,11645.63,-3.19,
DUSA,2.33,3.26,6.83,0.65,"140,195","88,671",33.06%,35.51%,80.36M,24.65M,20.43M,N/A,N/A,N/A,1,0.26,0.26,1.73,0.99,3.32,12.44,1.93,42.30M,6.92M,6.92M,16.36%,15.34%,31-Dec,30-Sep-11,14.35%,33.68%,6.46,N/A,24.42M,1.22M,5.10%,1.30M,9.5,"32,238",3.7,4.38,18.38,-31.33,466207.71,49.71,
DUST,none,37.23,none,none,none,none,none,none,-17.58%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Direxion Funds,8.30M,none,none,none,none,none,none,none,none,none,"150,681",30.3,42.62,40.66,-31.33,6487835.83,71.99,
DV,32.97,33.01,66.85,0.76,"999,900","1,000,240",-24.27%,-21.82%,2.22B,67.28M,60.27M,0.3,0.90%,22-Jun-98,20.64,4.49,4.49,31.44,4.84,1.61,7.36,1.02,2.18B,531.55M,314.29M,14.42%,21.20%,30-Jun,30-Sep-11,15.07%,23.89%,1.18,N/A,325.26M,1.71M,2.60%,1.41M,1.7,"368,500",34.71,38.46,10.8,-31.33,22374138.53,42.14,
DVA,59.14,72.85,89.76,0.46,"1,295,860","1,057,960",0.79%,3.24%,6.81B,93.50M,93.12M,N/A,N/A,16-Jun-04,21.4,4.1,4.1,70.92,6.05,3.38,17.75,1,6.78B,1.33B,401.39M,5.89%,15.82%,31-Dec,30-Sep-11,8.20%,18.65%,1.97,178.61,565.87M,1.80M,1.90%,1.74M,1.2,"453,878",76.62,75.81,-1.06,-31.33,49852268.07,30.28,
DVAX,1.75,2.91,3.59,2.64,"1,343,550","1,221,110",41.26%,43.71%,369.01M,126.81M,118.32M,N/A,N/A,N/A,0.29,-0.51,-0.51,0.1,0.42,10.17,N/A,31.08,11.95M,-56.60M,-59.45M,N/A,-489.07%,31-Dec,30-Sep-11,-57.76%,-200.05%,5.51,34.07,53.22M,12.77M,18.00%,12.72M,8.3,"425,428",3.21,3.32,3.43,-31.33,5437486.6,34.76,
DVD,0.84,1.1,2.25,0.54,"60,277","112,914",-39.23%,-36.78%,40.48M,36.80M,15.58M,N/A,N/A,16-Sep-98,1.11,-0.54,-0.54,1.04,0.01,0.95,N/A,1.04,37.56M,-6.84M,-27.09M,-52.05%,-32.17%,31-Dec,30-Sep-11,-6.28%,-53.71%,0.57,85.44,399.00K,19.75K,N/A,19.17K,1.4,"4,203",1.06,1.04,-1.89,-31.33,45438.84,29.45,
DVF,8.84,9.28,12.02,0.69,"38,041","36,414",-13.19%,-10.74%,114.95M,12.39M,N/A,0.62,6.70%,N/A,11.01,1.5,1.5,0.94,0.1,0.85,6.18,9.99,11.59M,N/A,18.61M,160.54%,86.61%,31-Aug,28-Feb-11,3.32%,14.13%,0.24,28.27,1.22M,3.22K,N/A,6.86K,0.1,"40,974",9.37,9.5,1.39,-31.33,331582.25,32.72,
